name;paper_count
Camilleri JA;1
Campbell SE;1
Campos O;2
Campos LLF;1
Canela M-A;1
Capizzi M;3
Caquelin L;1
Caravaggi A;1
Carbonell KB;1
Cardoso P;1
Carlsson R;1
Carlsten;1
Carlucci L;1
Carmichael CL;1
Carnevali L;1
Carpentier J;3
Carroll CJW;1
Caruyer E;1
Carvacho H;2
Castelli FM;2
Castrellon JJ;1
Castrillo L;1
Cataldo AM;2
Catanach TA;1
Catlett T;1
Ceary CD;2
Cecchetti L;1
Cellini N;3
Cervenka S;1
Cesnaite E;2
Chakroff A;2
Chamberlain SAE;2
Chan CSR;1
Chan H-Y;2
Chandler J;1
Chapman H;1
Charles SJ;1
Chartier CR;4
Charyate ACA;1
Charyate AC;1
Charyate A;1
Chatard A;1
Chaumon M;1
Chee MWL;1
Chen S-C;3
Chen O;1
Chen Z;4
Chen X;1
Cheng W;1
Cheung F;2
Chik HYJ;1
Chiu F;3
Chopik WJ;3
Chou W;2
Chou W-L;1
Choupan J;1
Chow D;2
Choy ES;1
Christie AP;1
Christopher Benwell PD;1
Christopherson CD;1
Chuan-Peng H;3
Chuang A;1
Chunco AJ;1
Chung B;1
Chung D;2
Chylinski D;1
Cian L;2
Cieslik EC;1
Cimpian A;1
Claessens S;1
Clark M;1
Clark BL;1
Clayson PE;2
Clayton E;1
Clement P;1
Clemente E;1
Clemente EG;2
Cocco B;1
Cohen N;3
Cohen AL;1
Cohen MX;1
Cohen-Adad J;2
Cohen-Eick N;2
Cohn B;1
Cole ZJ;1
Cole J;1
Coles NA;3
Open Science Collaboration;1
The Crowdsourcing Hypothesis Tests Collaboration;1
McPhetres J Culture and Work Forecasting Collaboration;1
Hiring Decisions Forecasting Collaboration;1
Generalizability Tests Forecasting Collaboration;1
Psychological Science Accelerator Self-Determination Theory Collaboration;1
TARG Meta-Research Group & Collaborators;1
Collazo A;1
Collignon O;1
Colling LJ;1
Collins GS;1
Collins WM;3
Colloff MF;2
Brainhack Community;1
Constant M;1
Constantino S;1
Constantino SM;1
Contina A;1
Contreras-Huerta LS;2
Contu D;2
